Gene,log2FC,pvalue,FDR
Hmgcll1,1.71737211,1.63E-47,9.76E-47
Lrrc1,-0.473138116,0.000481923,0.000782848
LOC367140,-2.086442573,9.25E-06,1.69E-05
Foxl2,-2.653863535,0.009293222,0.013530053
Cep70,1.917573933,9.78E-99,1.35E-97
LOC367159,1.667688771,0.002586466,0.00396857
Cpne4,2.230231053,4.27E-12,1.03E-11
RGD1560844,1.457728939,2.42E-07,4.80E-07
Hyal1,-2.535805281,2.80E-59,2.09E-58
Traip,4.431932731,2.33E-280,1.72E-278
Map4,-1.377867597,1.38E-26,5.11E-26
RGD1565653,1.411648805,3.74E-11,8.74E-11
Gadl1,2.228137424,0.000151189,0.000254555
LOC367195,0.643262347,0.029336736,0.040601516
Acad8,-1.248279699,3.55E-24,1.23E-23
Oard1,0.550366817,8.93E-33,3.85E-32
Trem3,0.920157947,9.05E-06,1.65E-05
Ncr2,-4.689339143,3.18E-32,1.35E-31
Runx2,2.039367477,1.68E-47,1.00E-46
Fam135a,-1.545653005,2.15E-23,7.32E-23
Col19a1,-1.893922224,2.80E-10,6.31E-10
Rab23,-1.491465512,1.53E-69,1.36E-68
Ankrd39,1.158980925,6.91E-37,3.28E-36
Mgat4a,-0.537509696,0.000514912,0.000834329
Sec61g-ps1,2.115528513,1.65E-42,8.86E-42
RGD1564447,-1.616977298,0.034221598,0.047045156
Stat4,0.815105739,1.90E-07,3.79E-07
LOC367275,0.648456313,6.58E-24,2.27E-23
LOC367277,2.056141726,3.50E-33,1.52E-32
Kansl1l,-0.381861561,1.19E-10,2.71E-10
Slc23a3,3.352737129,1.89E-68,1.65E-67
Kcne4,-3.618163444,6.66E-72,6.19E-71
Ap1s3,2.271807971,1.09E-38,5.38E-38
RGD1561755,1.151547301,0.011311147,0.01633133
Dis3l2,-0.410665817,1.28E-16,3.63E-16
Alpg,-1.543271837,2.35E-08,4.89E-08
Col6a3,-4.355497902,2.42E-185,8.63E-184
Lrrfip1,0.501588927,3.44E-09,7.41E-09
Gpr35,1.141186156,6.09E-08,1.24E-07
Nudt12,-2.336825813,2.12E-137,4.66E-136
RGD1559955,1.283377699,2.23E-21,7.18E-21
Washc1,-0.656224811,2.21E-53,1.47E-52
B3gntl1,-1.490022058,1.39E-55,9.66E-55
Pla2g12b,1.66548524,0.004268462,0.006424408
Lrg1,1.100918391,8.71E-18,2.56E-17
Gaa,-0.808149095,3.70E-12,8.99E-12
Pif1,3.772049102,3.90E-176,1.25E-174
Sowahd,3.735749229,1.01E-25,3.64E-25
RGD1565032,1.029884956,0.00187345,0.00290864
Rp2,0.972672816,5.48E-20,1.70E-19
Rpgr,-0.147475335,0.007495917,0.011011977
Praf2,0.231666064,0.014552924,0.020819851
LOC367746,-3.648032964,2.75E-13,6.96E-13
LOC367757,-0.559472805,0.007503802,0.01102192
RGD1560105,1.230853964,7.29E-06,1.34E-05
Tmem164,0.317518049,0.000284083,0.000469121
RGD1562863,1.281314427,2.32E-11,5.46E-11
Mageh1,-1.523398886,1.84E-49,1.14E-48
Tceanc,0.60846666,6.22E-23,2.10E-22
Bmx,2.170550444,9.42E-41,4.86E-40
Scml2,1.112994496,7.55E-22,2.47E-21
Ptges3l1,1.308205574,6.72E-39,3.33E-38
Zfx,0.381866448,6.89E-25,2.44E-24
Zc4h2,-1.130086152,7.95E-32,3.35E-31
Sp3,0.493629911,5.79E-15,1.55E-14
LOC367856,1.546506241,0.001408316,0.002208866
Btk,3.396682898,8.09E-126,1.56E-124
Armcx3,-1.268230153,4.28E-54,2.89E-53
Armcx2,-2.183360121,1.60E-32,6.86E-32
Tceal8,0.488993068,1.18E-18,3.56E-18
Rab9b,-1.512590015,2.88E-11,6.76E-11
Rbmx2,1.098848852,1.92E-60,1.47E-59
Zic3,5.090252078,1.85E-56,1.31E-55
RGD1560171,-0.679570582,0.034835283,0.047839895
Ldoc1,0.552764145,0.046414607,0.0627229
Upk3bl1,-6.351351481,1.93E-90,2.33E-89
Bcl7b,-0.153897966,0.007898149,0.011579881
Baz1b,0.843473658,1.44E-60,1.11E-59
Btaf1,1.100405685,8.25E-70,7.41E-69
Atp6v1g2,1.280102873,0.000292748,0.000482865
Ankib1,-0.624144345,1.24E-42,6.68E-42
Inmt,-4.981936655,6.06E-74,5.83E-73
Pnn,0.346179811,4.49E-05,7.84E-05
Bud23,0.855539536,4.08E-61,3.16E-60
Dgkd,0.711362115,3.04E-27,1.14E-26
Hpse2,-2.866154483,5.08E-19,1.54E-18
Rorc,-3.157562616,1.86E-13,4.75E-13
RGD1565071,-1.459180541,0.02005334,0.028277312
Hoxc9,-2.584606632,7.34E-17,2.09E-16
Dnajc30,-0.819630078,1.39E-27,5.28E-27
Myadm,-1.693017812,2.93E-63,2.37E-62
Ddx24,-0.385307047,8.54E-19,2.58E-18
Ift81,-1.085712513,1.47E-25,5.31E-25
Il18rap,2.202118568,2.71E-32,1.15E-31
Taf9,1.089192267,1.95E-153,5.06E-152
Stk25,-0.800520431,1.19E-74,1.16E-73
Prkag2,-1.981719483,9.36E-119,1.67E-117
Terc,7.686795721,1.89E-96,2.50E-95
Tmem159,-2.151732238,2.00E-206,8.67E-205
Pigw,-0.304013405,0.000479027,0.000778313
Trmt11,0.798975233,6.71E-44,3.72E-43
Uts2b,-4.42453171,3.43E-30,1.39E-29
Bst2,-1.141250283,4.59E-22,1.51E-21
Gjb2,-0.629206866,0.008997551,0.013115075
E2f1,1.952159383,1.64E-130,3.34E-129
Vkorc1l1,-1.7798206,9.85E-116,1.69E-114
Mid1ip1,1.276711867,7.33E-88,8.57E-87
Mrgprx2,-1.96518842,1.86E-09,4.05E-09
Mas1l,-4.413450668,3.75E-38,1.83E-37
Mrgpre,-2.543882109,4.75E-12,1.15E-11
Iqsec3,1.835499584,1.23E-13,3.16E-13
Olr34,-1.818815328,0.001933997,0.002998866
Olr1639,2.555670478,0.000265565,0.000439573
Olr837,-1.973855424,4.82E-08,9.87E-08
Olr1597,7.670365895,5.80E-85,6.53E-84
Olr1366,-5.713517049,1.12E-58,8.27E-58
Olr1737,-1.37004013,0.007125396,0.010492147
Olr1394,3.296728744,1.63E-05,2.93E-05
Olr1395,3.861498188,1.12E-12,2.77E-12
Olr1396,4.900883701,2.92E-20,9.15E-20
Olr1529,-1.543315325,0.010376171,0.015029801
Olr1585,1.142840085,1.74E-09,3.79E-09
Olr1734,-1.933656695,5.68E-05,9.86E-05
Olr1738,-1.225163281,1.23E-05,2.23E-05
Btnl7,-4.003919186,2.21E-27,8.36E-27
Btnl8,-4.806176605,2.31E-43,1.26E-42
C4b,-4.635844241,7.74E-273,5.46E-271
Notch4,-2.443314774,4.64E-46,2.69E-45
Gpsm3,2.901519529,1.19E-238,6.65E-237
Pbx2,0.302421938,2.93E-15,7.95E-15
Agpat1,-0.500301726,1.90E-13,4.84E-13
Egfl8,-0.392969578,7.27E-05,0.000125215
Prrt1,-0.50857842,2.70E-06,5.07E-06
Atf6b,0.149226135,0.001536722,0.002402875
Sapcd1,1.260790081,3.69E-05,6.47E-05
RT1-T18,-1.077247344,0.000311593,0.000513147
Tcf19,3.39751414,0,0
Cchcr1,2.279306207,1.56E-117,2.75E-116
Krt77,1.744570568,3.71E-06,6.92E-06
Krt72,-3.314359561,3.42E-19,1.04E-18
Krt2,0.879052527,0.000723209,0.001160523
Rpp21,0.345476608,4.90E-07,9.58E-07
Clic1,0.285521173,0.002389562,0.003674644
Mpig6b,3.900060745,5.24E-145,1.25E-143
Ly6g6e,1.473176989,1.07E-08,2.25E-08
Ly6g5b,0.443512058,0.006516799,0.00963002
G4,-0.748965468,1.29E-21,4.17E-21
Btla,3.129816837,2.78E-97,3.74E-96
Krt76,3.241255702,1.02E-31,4.28E-31
St6galnac4,1.23977622,8.81E-82,9.50E-81
St6galnac6,-1.805612568,1.49E-37,7.18E-37
Btnl3,-3.75307987,1.01E-23,3.46E-23
Stk19-ps,-1.161047376,0.002131111,0.003290885
Rnf5,0.665544002,2.51E-33,1.10E-32
Sucnr1,-3.955986004,1.39E-161,3.90E-160
Pan2,0.528933237,9.87E-13,2.44E-12
Abhd12b,1.742678929,0.004644405,0.00696755
Mcpt4l1,3.14902058,6.37E-09,1.36E-08
Mcpt1l3,6.596313113,1.33E-68,1.17E-67
Cpa5,-2.349613027,0.001119178,0.001768778
Usp11,0.315031115,0.001165452,0.001838669
Usp54,-0.782465832,1.77E-24,6.18E-24
Wfdc15b,1.920819232,3.41E-09,7.34E-09
Spink4,-1.045996685,0.000232049,0.000385714
Spink2,3.11388621,7.27E-13,1.81E-12
Prss57,3.581785018,7.68E-78,7.87E-77
Ece2,-0.599731638,1.79E-05,3.21E-05
Prss46,2.77306902,0.005178585,0.007728171
C1rl,0.474145513,0.000522546,0.000846373
Try10,5.168093328,1.56E-15,4.27E-15
RT1-CE14,-1.746807016,4.27E-35,1.94E-34
RT1-CE2,1.000309513,0.016445799,0.023405615
RT1-CE4,-0.344507037,0.011287026,0.016298095
RT1-T24-4,1.471387043,6.84E-39,3.39E-38
RT1-M6-1,-1.461625769,6.02E-19,1.82E-18
RT1-M1-2,-3.315717774,1.17E-33,5.14E-33
RT1-M10-1,-1.745997907,5.25E-05,9.13E-05
RT1-T24-3,0.769451328,1.35E-07,2.71E-07
RT1-CE15,-0.242232598,0.007490706,0.011004869
RT1-CE13,2.057289067,4.94E-13,1.24E-12
RT1-CE11,-1.144382463,1.49E-14,3.94E-14
RT1-CE10,-0.485729157,3.96E-07,7.78E-07
Rps15-ps1,-3.01500419,2.97E-18,8.85E-18
Ppid-ps1,-1.856439636,0.002725912,0.004176033
RT1-CE16,-0.749974808,3.25E-38,1.59E-37
Tsbp1,3.539121323,7.27E-36,3.37E-35
Rps2-ps1,-2.738016686,7.34E-13,1.83E-12
Rpl41-ps1,0.481870454,2.99E-09,6.45E-09
Ly6g6d,2.245988939,1.81E-14,4.79E-14
Gpank1,1.763946615,4.45E-104,6.60E-103
E230034O05Rik,-1.199847054,0.000275344,0.000455275
Cdk2ap1-ps4,-0.718725727,0.003383021,0.005141441
Cdk2ap1-ps6,3.01298377,6.27E-05,0.000108477
Sgce,-3.341919222,1.83E-152,4.67E-151
Nrg2,0.772739064,5.85E-06,1.08E-05
Slco4c1,6.880232122,5.57E-40,2.83E-39
Npc1l1,3.947880169,1.28E-19,3.95E-19
Atp6v0e2,-2.603397288,7.35E-59,5.44E-58
Eml5,-1.063016686,2.82E-07,5.57E-07
Apold1,0.558025235,0.000453067,0.000737633
Dnmt3a,-1.268805859,4.37E-88,5.13E-87
Dnmt3b,1.40736401,7.32E-75,7.15E-74
C5ar2,2.796372355,1.64E-95,2.15E-94
Jph4,1.386937537,0.033729384,0.046405157
S100a11,-1.631479923,8.19E-44,4.53E-43
Thbs1,-0.917225648,1.28E-05,2.32E-05
Repin1,-1.586183306,6.03E-35,2.74E-34
Ly96,0.684740314,6.75E-16,1.87E-15
Clec4b2,2.685014004,3.55E-15,9.60E-15
Clec4e,3.33542506,3.82E-69,3.38E-68
Omg,1.922506753,1.72E-08,3.59E-08
Krt10,-1.619274504,1.37E-28,5.33E-28
Ka11,-1.628006287,0.022857651,0.032033196
Krt42,-1.237326171,1.38E-05,2.50E-05
Adgre4,1.896322592,1.66E-53,1.11E-52
Clec4a,1.219614321,1.54E-21,4.98E-21
Hcst,1.964059582,5.69E-41,2.95E-40
Mib2,-1.606185989,1.92E-37,9.23E-37
Rbm4b,-0.249453302,9.40E-08,1.90E-07
Rnase2,0.60185624,0.03621131,0.04962595
Sspo,-1.917671941,1.59E-16,4.49E-16
Pmaip1,0.74077723,3.76E-05,6.60E-05
Crppa,-1.091049002,3.33E-12,8.10E-12
Capza2,0.147951367,0.017276054,0.02453412
Gimap9,-0.985565166,6.03E-18,1.78E-17
Aox3,-3.049335031,4.16E-64,3.39E-63
Lmcd1,-1.953947207,2.17E-14,5.72E-14
Rcn3,-1.557891215,1.23E-61,9.60E-61
Mycbpap,1.94729714,4.51E-47,2.67E-46
Ly49s6,1.018679902,1.88E-07,3.75E-07
Oas1k,0.901587056,6.35E-06,1.17E-05
Oas1f,-3.579272585,1.05E-17,3.08E-17
Oas1h,-1.500227592,2.45E-06,4.61E-06
Oas1e,-1.973355464,6.58E-13,1.64E-12
Oas3,2.507595314,1.45E-36,6.81E-36
Ly49i4,3.028396001,1.15E-17,3.36E-17
Ly49si1,1.106299318,6.09E-22,2.00E-21
Ly49i3,3.924739636,2.42E-30,9.81E-30
Ly49si3,1.630178692,1.06E-21,3.45E-21
Ly49i7,1.362829582,2.15E-07,4.27E-07
Ly49i5,2.304460946,1.32E-13,3.38E-13
Eogt,-1.886629812,1.31E-97,1.76E-96
Pfn4,2.209946548,3.64E-05,6.39E-05
Fbxl16,-1.310423971,5.70E-08,1.16E-07
Bin2a,-3.309323328,4.00E-40,2.04E-39
Vom1r89,-2.550047222,7.53E-06,1.38E-05
Ccdc8,-1.147357007,5.25E-18,1.55E-17
Fam115e,-3.325323156,1.27E-16,3.61E-16
Trim25,-0.779917592,5.64E-14,1.46E-13
Zfp799,-0.630823612,1.07E-20,3.40E-20
Zfp868,0.190216813,0.001353785,0.002125252
B4galt3,1.123771138,1.35E-68,1.18E-67
Tacstd2,2.862171743,2.03E-07,4.04E-07
Ier2,0.445165731,5.13E-08,1.05E-07
Pdcd10,1.110556769,3.55E-98,4.84E-97
Prelid3b,0.658540514,9.15E-50,5.71E-49
Cdkn2d,3.24499789,0,0
Srsf2,0.498048801,6.91E-23,2.32E-22
Ggnbp1,-1.412166049,4.27E-14,1.11E-13
Kctd10,-1.212149098,9.40E-30,3.76E-29
Naaa,-0.921780035,1.38E-22,4.61E-22
Eng,-2.39639381,1.94E-159,5.35E-158
Prss36,-1.354837126,2.20E-38,1.08E-37
Xk,4.121149852,1.13E-185,4.04E-184
Xkr5,4.496201174,4.59E-120,8.34E-119
Xkrx,1.860689071,1.14E-23,3.92E-23
Rnase17,10.25976527,2.82E-146,6.83E-145
Plcz1,-2.279677478,8.36E-06,1.53E-05
Fut10,-1.920327693,5.33E-33,2.31E-32
Rnase11,3.168895894,2.27E-13,5.76E-13
Brca1,4.777067187,0,0
Gucy1a1,-0.901736191,1.96E-21,6.33E-21
Cd2,-0.423712101,0.006535727,0.009656543
Scn3a,-3.015211243,6.75E-24,2.33E-23
Dut,3.630385071,0,0
LOC497796,1.050409525,3.18E-08,6.59E-08
Xdh,-1.387032696,1.87E-34,8.41E-34
Rmi2,5.018047904,8.15E-166,2.38E-164
Dexi,-0.309180976,0.000190622,0.00031886
Atf7ip2,-1.850998827,5.59E-05,9.71E-05
Rpl39l,5.672897604,8.51E-61,6.55E-60
RGD1564086,7.775937812,2.35E-96,3.12E-95
Tmem186,-0.173996678,0.004941936,0.007390669
Rbm25l1,0.452026193,6.84E-19,2.07E-18
Nudt16l1,0.353708756,1.55E-15,4.24E-15
Nsg2,3.625446891,2.43E-43,1.33E-42
RGD1564698,-5.46506208,8.12E-73,7.65E-72
C1qtnf2,-3.012804384,7.65E-74,7.35E-73
Fam71b,1.727810515,4.25E-08,8.73E-08
Timd4,-1.446620395,3.51E-05,6.17E-05
Sgcd,-0.91509048,0.00076666,0.001227719
Zfp62,0.245845558,9.42E-05,0.000161072
Mrnip,0.694943236,1.65E-14,4.35E-14
Zfp879,-1.428384282,3.62E-13,9.13E-13
Zfp2,-1.827615415,4.60E-25,1.64E-24
LOC497899,-1.302442774,4.03E-20,1.26E-19
Rmnd5b,0.494304373,2.18E-09,4.73E-09
Uqcrq,0.212146594,0.030351726,0.041949333
Sowaha,5.046949604,1.57E-263,1.05E-261
Ccdc69,-1.549164133,3.57E-32,1.52E-31
RGD1563668,1.045576824,1.42E-27,5.42E-27
Btnl10,7.622242698,0,0
Gjc2,-1.917063692,1.60E-30,6.54E-30
Drg2,-0.282126468,2.02E-10,4.59E-10
Smcr8,-0.770172582,1.78E-10,4.06E-10
RGD1559667,-1.554118624,0.014596118,0.020878617
Slc47a2,-3.555175495,8.78E-26,3.18E-25
Shisa6,-4.707236491,2.52E-57,1.81E-56
Sco1,-0.487420702,2.62E-18,7.82E-18
Pik3r5,1.146820957,2.80E-27,1.06E-26
Pik3r6,0.202386047,0.026847225,0.037335981
Slc25a35,-3.053653267,8.24E-156,2.18E-154
Rnf227,1.706007103,5.44E-17,1.56E-16
Tmem88,-1.520360676,7.98E-38,3.87E-37
Spem2,1.682785734,0.000163945,0.00027542
LOC497940,0.689459456,1.02E-16,2.90E-16
Gps2,0.645611413,3.76E-47,2.23E-46
Cxcl16,-1.964834462,5.99E-66,5.04E-65
Gltpd2,-1.591789464,7.03E-07,1.36E-06
Zfp3,0.761987399,4.63E-16,1.29E-15
Spns3,2.657355248,2.25E-40,1.15E-39
Trpv3,-2.169251103,1.03E-26,3.84E-26
Ovca2,-0.639570179,1.89E-14,4.99E-14
Tlcd2,-2.120181313,3.49E-30,1.41E-29
Gemin4,0.151001576,0.029715612,0.041100877
Proca1,-2.062792475,2.15E-56,1.52E-55
Fam222b,-0.408919503,6.47E-16,1.79E-15
Nlk,1.11592807,1.39E-41,7.33E-41
Lyrm9,0.839045328,1.24E-19,3.82E-19
Zfp830,1.08518684,1.70E-133,3.59E-132
Heatr6,-0.693252218,1.30E-54,8.90E-54
Myo19,-1.114563836,1.91E-58,1.40E-57
Znhit3,0.269897836,3.72E-05,6.53E-05
Rad51c,3.488509263,0,0
Dgke,-2.803879703,8.69E-67,7.39E-66
Tmem100,-1.51423147,8.56E-10,1.89E-09
Fam117a,2.681409038,3.13E-97,4.20E-96
Zfp652,0.128880075,0.009471643,0.013780322
Hoxb7,-1.003979721,5.85E-08,1.19E-07
Hoxb6,-2.808352829,3.94E-53,2.60E-52
Hoxb5,-2.469931729,9.51E-32,4.00E-31
Hoxb4,-2.274944067,1.85E-38,9.11E-38
Arl5c,2.509484869,2.61E-73,2.48E-72
Med1,0.154872412,0.000810083,0.001295082
Krt222,-1.826366964,2.51E-08,5.21E-08
Coa3,0.165211296,0.002422525,0.003724366
Cntd1,-1.195218747,1.03E-17,3.02E-17
RGD1561590,0.70147805,1.32E-45,7.61E-45
Dusp3,-1.385422352,8.49E-20,2.63E-19
Asb16,3.658198005,1.05E-05,1.91E-05
Ccdc103,-1.335453591,0.006419315,0.009492603
Hexim1,-0.399555292,2.97E-15,8.06E-15
Mrc2,-2.322324113,1.08E-86,1.25E-85
Ern1,-0.458360892,1.40E-13,3.59E-13
RGD1565033,-2.005880636,2.28E-85,2.58E-84
Pitpnc1,0.769072115,4.70E-29,1.85E-28
Kctd2,-0.549109688,3.88E-09,8.33E-09
Cep295nl,-2.703941659,2.67E-43,1.46E-42
Endov,-0.565121238,1.81E-16,5.09E-16
Anapc11,0.347745973,2.89E-13,7.30E-13
Fn3k,4.129590445,0,0
LOC498037,0.619120629,0.001958638,0.003035325
Vgll3,-3.231324319,3.87E-54,2.61E-53
RGD1562726,1.182272398,4.54E-09,9.72E-09
Lca5l,-1.685226346,0.010943155,0.015820863
Sh3bgr,3.041652977,1.21E-08,2.54E-08
RGD1565472,0.866345947,0.000197583,0.000330131
Hmgb2l1,6.048519253,0,0
Trat1,0.678862138,0.024197009,0.033825276
Cd96,0.832952928,0.000100108,0.000170786
RGD1563835,1.858669455,1.05E-59,7.86E-59
Stfa2l2,10.11519005,1.38E-155,3.64E-154
RGD1565297,0.976064432,3.06E-05,5.41E-05
Dtx3l,-0.514504434,4.06E-10,9.09E-10
Dynlt2b,-0.565714464,3.26E-11,7.64E-11
Smco1,4.698757134,1.32E-05,2.39E-05
Wdr53,0.552482569,4.29E-27,1.61E-26
Mb21d2,-1.183279679,1.99E-15,5.41E-15
Gmnc,-2.812307817,9.05E-08,1.83E-07
RGD1562339,-0.310785822,0.027676711,0.038433525
Polr2h,0.494671977,8.76E-17,2.49E-16
Yeats2,-0.770324118,8.96E-39,4.43E-38
Spidr,0.494302491,3.42E-13,8.62E-13
LOC498122,-0.470556295,3.32E-13,8.38E-13
LOC498127,0.87123761,2.45E-05,4.36E-05
Mcemp1,6.26497202,3.86E-300,3.25E-298
Tex45,1.941065402,3.76E-10,8.42E-10
Stard13,-2.006827953,3.41E-85,3.85E-84
N4bp2l1,-0.52639737,4.51E-10,1.01E-09
Tex26,-3.246327275,9.33E-17,2.65E-16
Cdk8,0.662355907,5.26E-30,2.11E-29
RGD1565131,1.112346645,1.27E-07,2.54E-07
Fam220a,1.458145335,2.43E-53,1.61E-52
Brat1,-0.507285916,7.37E-30,2.96E-29
Gpr146,-1.708061786,1.23E-110,1.98E-109
LOC498154,0.267060316,6.25E-06,1.15E-05
Spry3,-3.633697176,5.72E-16,1.59E-15
Zkscan1,-0.505514723,1.51E-17,4.39E-17
Gal3st4,-3.225153917,1.38E-54,9.38E-54
RGD1561730,2.428320591,2.00E-69,1.78E-68
Bri3bp,1.760497359,9.55E-55,6.53E-54
Mapkapk5,0.184959789,0.001197777,0.001887855
Iqcd,-0.930095362,0.000474955,0.000772079
Slc8b1,-0.736283972,8.01E-16,2.21E-15
Spring1,-2.181868159,1.00E-94,1.30E-93
Srrm4,-2.240341976,1.23E-05,2.23E-05
RGD1560398,-0.756186857,1.35E-11,3.22E-11
Fam222a,0.7520989,0.002261137,0.003483491
Mn1,-1.311699019,2.09E-09,4.54E-09
Tnfrsf11a,-2.415412775,1.61E-75,1.59E-74
Pm20d1,-3.192393856,1.83E-115,3.13E-114
Mfsd4a,-0.740498685,0.001123205,0.001774952
Tmem81,0.428804277,3.86E-05,6.76E-05
LOC498231,0.825554172,4.74E-07,9.27E-07
Lax1,3.009902894,9.19E-89,1.09E-87
Lgr6,-2.545078132,2.88E-20,9.04E-20
Arl8a,-0.339510989,1.71E-10,3.89E-10
Rgs13,1.861504046,3.35E-08,6.92E-08
Ier5,0.160667938,0.011147493,0.016102116
Fam163a,-3.953566603,4.29E-28,1.65E-27
LOC498265,2.207101619,1.53E-89,1.83E-88
Blzf1,0.167623253,0.001977626,0.003062826
Dusp27,2.871633223,0.000345895,0.000567867
Fam78b,-2.504153421,2.00E-40,1.03E-39
Ccdc190,-0.597421346,0.014379356,0.020581493
Uap1,-1.416921707,2.90E-29,1.15E-28
RGD1559938,0.637128468,0.001203455,0.0018965
Spata46,0.669649132,0.015939717,0.022718148
Fcrlb,0.790703073,0.011124858,0.01607099
LOC498276,1.487778304,2.54E-39,1.27E-38
Cfap126,-1.263359715,7.15E-07,1.39E-06
Arhgap30,1.882064045,8.71E-40,4.39E-39
Slamf1,-0.638245701,0.005797349,0.008611608
Slamf6,3.446939976,5.00E-71,4.59E-70
Opn3,0.466720199,0.000471656,0.000766928
RGD1563812,1.089498732,1.93E-29,7.67E-29
Smyd3,-0.660297389,5.26E-14,1.37E-13
Cnst,0.751892019,3.11E-17,8.98E-17
Lefty1,4.702557636,6.38E-34,2.83E-33
LOC498300,-1.823046297,4.99E-05,8.68E-05
Wdr26,1.36599097,1.59E-90,1.93E-89
Spata17,-3.042049554,3.22E-35,1.47E-34
Nsl1,3.727355278,0,0
Abcg3,-1.261665918,2.04E-20,6.42E-20
Pkd2,-2.203608282,9.66E-170,2.93E-168
Ptpn13,-3.120727508,2.67E-76,2.68E-75
Coq2,-0.863932757,4.06E-28,1.56E-27
Bmp2k,0.578387759,2.17E-16,6.09E-16
RGD1561381,1.51825658,3.36E-10,7.54E-10
Thegl,1.753632501,4.05E-57,2.90E-56
Pdcl2,-2.147484191,1.49E-06,2.84E-06
Scfd2,-0.819524518,1.97E-23,6.73E-23
Shisa3,-2.791412357,1.19E-09,2.61E-09
Slc30a9,0.841487379,1.54E-51,9.91E-51
RGD1563570,1.190990931,2.45E-33,1.07E-32
Tmem156,2.646775517,1.58E-81,1.70E-80
Fam114a1,-2.133223272,1.60E-74,1.55E-73
LOC498368,-1.746759338,2.87E-25,1.03E-24
Lcorl,1.078525743,4.63E-43,2.51E-42
Cc2d2a,-1.873390753,5.64E-61,4.35E-60
RGD1561694,5.88930642,2.55E-242,1.47E-240
Zfp518b,0.375500873,2.64E-05,4.68E-05
LOC498391,4.79664374,7.11E-26,2.58E-25
Cytl1,-3.809200493,6.08E-54,4.09E-53
Msantd1,-0.84133646,1.82E-10,4.14E-10
Selenom,-0.834704816,1.42E-07,2.84E-07
Sec14l4,-3.22529961,2.35E-31,9.78E-31
Hormad2,0.461365416,0.002562843,0.003934161
Ascc2,0.343957578,1.14E-09,2.50E-09
Ccdc117,0.471683647,1.03E-16,2.91E-16
Hus1,-0.271918495,3.66E-06,6.82E-06
Sun3,1.785275164,0.007443724,0.010940193
Zpbp,1.963303395,6.42E-37,3.05E-36
Grb10,-1.466242791,3.86E-33,1.68E-32
Wdr92,0.314762233,1.08E-08,2.28E-08
Etaa1l1,0.878798997,7.58E-46,4.38E-45
Sertad2,0.919326976,5.57E-41,2.89E-40
Ndufs5-ps1,-0.888844442,0.003079122,0.004692359
RGD1562229,-2.250946554,4.93E-07,9.63E-07
Psme4,1.328439714,1.32E-105,2.00E-104
Gpr75,-4.181411276,9.30E-91,1.13E-89
Myoz1,3.906029675,3.35E-12,8.15E-12
LOC498453,0.499314135,2.52E-10,5.69E-10
Ptgdrl,-3.957456004,1.11E-30,4.55E-30
Gnpnat1,-0.654461603,7.79E-17,2.22E-16
Naa30,-0.129886153,0.004698147,0.007042817
Tlr11,-1.730275346,9.60E-12,2.29E-11
Ccnb1ip1,4.483601535,6.16E-169,1.86E-167
RGD1565222,0.237792088,0.000118634,0.000201265
Cdh24,0.481886729,0.000224071,0.000372829
Khnyn,0.731607885,1.95E-22,6.47E-22
LOC498518,4.341865564,3.77E-44,2.11E-43
Amer2,2.47428173,2.10E-05,3.74E-05
Fam167a,-0.734990079,0.002799369,0.004282801
Trim35,-1.286261151,6.10E-18,1.80E-17
Tsc22d1,-0.369145348,1.48E-07,2.97E-07
Serp2,3.194456564,2.51E-33,1.10E-32
Epsti1,2.45225026,5.91E-90,7.12E-89
Akap11,-0.797969267,2.54E-39,1.27E-38
LOC498555,0.58428285,2.78E-12,6.78E-12
Uchl3,0.299378064,0.000603736,0.000974463
Itgbl1,-3.530326736,1.90E-46,1.11E-45
Cby2,-2.19405707,1.15E-18,3.46E-18
Il17rd,-3.949109839,2.14E-95,2.80E-94
RGD1564899,3.390138378,1.37E-10,3.13E-10
Tmem273,2.872792194,7.23E-90,8.69E-89
Wdfy4,1.859259602,1.04E-34,4.70E-34
Frmpd2,-4.135589779,9.46E-30,3.79E-29
Nrg3,-1.755425733,0.002284391,0.003518217
Slc35e1,0.479194365,8.97E-19,2.71E-18
Fam32a,-0.12236983,0.000737108,0.001182122
Niban3,7.373331853,1.34E-214,6.12E-213
Lrrc25,0.793859687,8.15E-14,2.11E-13
Kxd1,0.787699534,1.90E-44,1.07E-43
Yjefn3,-1.282221991,4.00E-07,7.84E-07
Lpar2,-0.673224039,0.004687818,0.007029113
Wwc2,-1.793208377,1.65E-71,1.52E-70
LOC498634,-1.909631189,5.17E-14,1.34E-13
Msr1,0.546788187,0.001706349,0.002658695
Rbpms,-3.116479937,1.22E-125,2.35E-124
Rab11fip1,1.506623202,1.16E-29,4.64E-29
RatNP-3b,15.19122249,0,0
Tdrp,-2.603845872,4.15E-138,9.19E-137
Tex29,-2.333413449,3.57E-09,7.68E-09
Tnfsf13b,-3.152830486,8.05E-72,7.46E-71
Fam155a,2.15526662,0.018078375,0.025621858
LOC498675,1.902248409,3.45E-30,1.40E-29
Ccdc71,-0.507388227,3.29E-46,1.91E-45
Prxl2c,-2.171216126,9.01E-72,8.35E-71
RGD1564827,5.089388428,1.59E-27,6.03E-27
Ctla2a,0.40045819,3.76E-05,6.60E-05
Spata31d1,-1.392905939,6.29E-13,1.57E-12
Idnk,-0.157774948,0.020825165,0.029312574
